CATEGORY,DISTRICT,LAT,LNG,NAME,POSTCODE,ROAD
Residences,HENVEIRU,4.175558791,73.51375133,AASMAANU VILLA,20086,KARANKAA MAGU
Residences,MAAFANNU,4.175762098,73.50573689,AASMAANUGE,20263,FAREEDHEE MAGU
Residences,MAAFANNU,4.175743372,73.50634843,AASNAA,20263,FANDIYAARU MAGU
Residences,MAAFANNU,4.173565847,73.50539625,AASTHAANA,20301,MUIVEYO GOALHI
Residences,MAAFANNU,4.177273521,73.50325584,AATHARI,20334,SHAHEEDH ALI HINGUN
Residences,MACHCHANGOLHI,4.176128584,73.51027787,AATHILA,20159,SHEERAAZEE GOALHI
Residences,MAAFANNU,4.172955925,73.50465596,AAUFAA,20306,HILAALEE MAGU
Residences,GALOLHU,4.172244348,73.5112381,AAVAAZ,20134,BURUZU MAGU
Residences,GALOLHU,4.172249698,73.51382911,AAVELI,20092,LONUZIYAARAIY MAGU
Residences,MAAFANNU,4.172495808,73.50561351,AAVINA,20271,BURUZU MAGU
Residences,HENVEIRU,4.176476346,73.51603925,AAZAADHE VAADHEE,20033,DHUNBURI MAGU
Residences,MAAFANNU,4.177797838,73.50639403,AAZAADHEE GULSHAN,20254,FEEROAZU MAGU
Residences,HENVEIRU,4.175925278,73.51755202,AAZAADHUGE,20004,ROASHANEE MAGU
Residences,MAAFANNU,4.175636368,73.50580394,AAZAMAAN,20263,MAJEEDHEE MAGU
Residences,MACHCHANGOLHI,4.173202034,73.50798458,AB VILLA,20202,DHEVINA MAGU
Residences,MACHCHANGOLHI,4.176404119,73.50904137,ABAA,20193,DHIDHI GOALHI
Residences,MAAFANNU,4.173932335,73.50347847,ABAANAA,20329,BLUEKIYA  MAGU
Residences,MACHCHANGOLHI,4.173552471,73.50697348,ABAARANA,20245,BADIFASGANDUDHOSHU MAGU
Residences,GALOLHU,4.175703246,73.51154387,ABADHAHHIYAAGE,20131,NEELOAFARU MAGU
Residences,GALOLHU,4.1765887,73.5119006,ABBASAA,20130,DAISY MAGU
Residences,MAAFANNU,4.177027414,73.50279455,ABEERU,20335,KANBA AISA RANI HINGUN
Residences,MAAFANNU,4.176947161,73.50297421,ABEERU AAGE,20335,KANBA AISA RANI HINGUN
Residences,MAAFANNU,4.178544185,73.50498855,ABUDHURAHMAAN AABAADHU,20280,BODUTHAKURUFAANU MAGU
Residences,MAAFANNU,4.176864234,73.50337923,ABUHAA,20324,SHAHEEDH ALI HINGUN
Residences,MACHCHANGOLHI,4.176479021,73.508395,ABUHAREEGE,20226,SAYYID KILEGEFAANU MAGU
Residences,MAAFANNU,4.17479639,73.5064128,ABULAGHEEGE,20260,ABLAGHEE GOALHI
Residences,HENVEIRU,4.172177471,73.51454258,ACACIA,20075,LONUZIYAARAIY MAGU
